InvestigationId,HotspotKey,Type,ObjectName,Speaker,Text,ItemId,Sprite
BG_01_Office,Background,,,,,,BG_01_Office
BG_01_Office,IntroText,,,,사무실을 둘러본다. 창문과 회사 동료를 조사할 수 있다.,,
BG_01_Office,Hotspot_STD_0107_Conductor_Angry1,Standing,STD_0107_Conductor_Angry1,,,,STD_0107_Conductor_Angry1
BG_01_MyDesk,Background,,,,,,BG_01_MyDesk
BG_01_MyDesk,IntroText,,,,"내 책상이다. 메모장, 카메라, 서랍, 캐비닛, 서류 뭉치, 반출 기록부, 핸드폰을 조사할 수 있다.",,
BG_01_MyDesk,Hotspot_Notepad,Item,메모장,,업무 기록이 빼곡히 적혀있다. 중요한 비밀번호나 열쇠의 위치도 적혀 있어 잃어버리면 안되는 물건. 볼펜도 함께 챙겼다.,notepad_pen,OBJ_01_Notepad
BG_01_MyDesk,Hotspot_Camera,Item,카메라,,현장의 사진들이 담겨있다. 그리고... 친구와 은사의 사진이 찍혀있다.,camera,OBJ_01_Camera
BG_01_MyDesk,Hotspot_Drawer,Item,서랍,,물건들이 난잡하게 어질러져 있다. 사직서를 발견했다.,resignation_letter,OBJ_01_Drawer
BG_01_MyDesk,Hotspot_Cabinet,Description,캐비닛,,열쇠가 꽂힌 채 잠겨 있던 캐비닛이다. 열어보니 안은 텅 비어 있다. 누군가 최근에 내용물을 통째로 빼낸 듯하다.,,OBJ_01_Cabinet
BG_01_MyDesk,Hotspot_Documents,Description,서류 뭉치,,결재가 끝난 사내 서류가 쌓여 있다. 몇 장은 중간 페이지가 빠졌는지 문서 번호가 이어지지 않는다.,,OBJ_01_Documents
BG_01_MyDesk,Hotspot_CellPhone,Description,핸드폰,,"전화, 문자 기록, 앨범을 확인할 수 있다. 라디오도 청취할 수 있다. 친구의 부고 문자를 확인했다.",,OBJ_01_CellPhone
BG_01_ConductorDesk,Background,,,,,,BG_01_ConductorDesk
BG_01_ConductorDesk,IntroText,,,,차장의 자리다. 그는 자리에 없다.,,
BG_01_ConductorDesk,Hotspot_Document2,Description,OBJ_01_Document2,,,,OBJ_01_Document2
BG_02_CoastalRoad,Background,,,,,,BG_02_CoastalRoad
BG_02_CoastalRoad,IntroText,,,,"동네 주민, 바다, 갯바위, 핏자국이 남은 돌, 절벽, 동네 학생을 조사할 수 있다.",,
BG_02_CoastalRoad,Hotspot_Sea,Description,바다,,갯바위에 거친 파도가 쓸려와 부딪히는 것을 확인할 수 있다.,,OBJ_02_Sea
BG_02_CoastalRoad,Hotspot_Rocks,Description,갯바위,,바위들은 한 군데에 모여있다. 절벽 아래에서 바위 쪽으로 떨어질 확률은 낮아 보인다.,,OBJ_02_Rocks
BG_02_CoastalRoad,Hotspot_Cliff,Description,절벽,,"높이가 낮아질수록 면적이 줄어드는 고깔 모양 형태의 절벽이다. 절벽 위를 살펴보면, 바닥에 파여있는 홈 사이에 끼어 있는 작은 돌멩이에 핏덩이가 있는 것을 확인하게 된다.",,OBJ_02_Cliff
BG_02_CoastalRoad,Hotspot_BloodRock,Description,핏자국이 남은 돌,,절벽 위 홈에 끼어 있던 작은 돌멩이다. 검붉게 말라붙은 핏자국이 선명하다. 추락하며 부딪힌 흔적이라기엔 놓인 위치가 어색하다.,,OBJ_02_BloodRock
